Date,Product line,Quantity,Holiday,Crude_oil_Price,Gold_Price,Unnamed: 6,S&P_500_Price,Nasdaq_100_Price,sp&crudeoil,nasdaq&goldprice,conv
05-01-2019,Health and beauty,7,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
03-03-2019,Home and lifestyle,7,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
27-01-2019,Health and beauty,8,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
08-02-2019,Sports and travel,7,0,55.99,1317.78,,2707.88,6913.13,2763.87,8230.91,-5467.04
25-02-2019,Electronic accessories,6,0,55.48,1329.5,,2796.11,7115.43,2851.59,8444.93,-5593.34
10-01-2019,Health and beauty,2,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
12-02-2019,Electronic accessories,5,0,55.99,1317.78,,2744.73,7014.67,2800.72,8332.45,-5531.73
07-02-2019,Food and beverages,10,0,55.99,1317.78,,2706.05,6904.98,2762.04,8222.76,-5460.72
29-03-2019,Health and beauty,10,0,60.14,1298.5,,2834.4,7378.77,2894.54,8677.27,-5782.73
11-03-2019,Health and beauty,7,0,59.265,1301.04,,2783.3,7164.02,2842.565,8465.06,-5622.495
01-01-2019,Sports and travel,6,1,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
21-01-2019,Food and beverages,3,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
17-02-2019,Electronic accessories,5,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
02-03-2019,Sports and travel,3,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
22-03-2019,Home and lifestyle,8,0,59.04,1312.3,,2800.71,7326.06,2859.75,8638.36,-5778.61
10-03-2019,Fashion accessories,2,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
15-03-2019,Health and beauty,9,0,58.52,1302.9,,2822.48,7306.99,2881,8609.89,-5728.89
15-03-2019,Health and beauty,2,0,58.52,1302.9,,2822.48,7306.99,2881,8609.89,-5728.89
10-03-2019,Sports and travel,5,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
15-01-2019,Electronic accessories,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
10-02-2019,Food and beverages,5,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
27-03-2019,Home and lifestyle,2,0,59.41,1310.4,,2805.37,7308.19,2864.78,8618.59,-5753.81
07-02-2019,Health and beauty,8,0,55.99,1317.78,,2706.05,6904.98,2762.04,8222.76,-5460.72
20-01-2019,Home and lifestyle,10,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
06-03-2019,Sports and travel,10,0,59.265,1301.04,,2771.45,7112.47,2830.715,8413.51,-5582.795
13-03-2019,Health and beauty,10,0,58.26,1309.3,,2810.92,7256.98,2869.18,8566.28,-5697.1
24-01-2019,Sports and travel,10,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
02-02-2019,Health and beauty,1,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
22-01-2019,Home and lifestyle,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
12-01-2019,Fashion accessories,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
27-03-2019,Food and beverages,7,0,59.41,1310.4,,2805.37,7308.19,2864.78,8618.59,-5753.81
02-01-2019,Sports and travel,1,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
10-01-2019,Sports and travel,7,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
08-03-2019,Electronic accessories,1,0,59.265,1301.04,,2743.07,7015.69,2802.335,8316.73,-5514.395
23-03-2019,Food and beverages,3,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
28-03-2019,Food and beverages,6,0,59.3,1295.3,,2815.44,7320.47,2874.74,8615.77,-5741.03
12-01-2019,Electronic accessories,10,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
22-03-2019,Sports and travel,6,0,59.04,1312.3,,2800.71,7326.06,2859.75,8638.36,-5778.61
19-01-2019,Home and lifestyle,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
02-02-2019,Food and beverages,10,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
14-02-2019,Electronic accessories,8,0,54.41,1313.9,,2745.73,7022.42,2800.14,8336.32,-5536.18
10-03-2019,Home and lifestyle,7,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
27-01-2019,Sports and travel,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
06-03-2019,Sports and travel,6,0,59.265,1301.04,,2771.45,7112.47,2830.715,8413.51,-5582.795
18-01-2019,Electronic accessories,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
18-02-2019,Home and lifestyle,6,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
16-03-2019,Sports and travel,8,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
21-01-2019,Home and lifestyle,6,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
10-02-2019,Fashion accessories,10,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
27-03-2019,Health and beauty,8,0,59.41,1310.4,,2805.37,7308.19,2864.78,8618.59,-5753.81
29-01-2019,Fashion accessories,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
20-02-2019,Food and beverages,5,0,56.92,1347.9,,2784.7,7062.34,2841.62,8410.24,-5568.62
25-02-2019,Sports and travel,1,0,55.48,1329.5,,2796.11,7115.43,2851.59,8444.93,-5593.34
13-03-2019,Food and beverages,7,0,58.26,1309.3,,2810.92,7256.98,2869.18,8566.28,-5697.1
08-02-2019,Fashion accessories,10,0,55.99,1317.78,,2707.88,6913.13,2763.87,8230.91,-5467.04
19-01-2019,Food and beverages,6,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
01-02-2019,Sports and travel,7,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
03-01-2019,Health and beauty,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
21-03-2019,Home and lifestyle,9,0,59.98,1307.3,,2854.88,7493.27,2914.86,8800.57,-5885.71
03-03-2019,Food and beverages,8,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
23-03-2019,Food and beverages,6,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
23-03-2019,Sports and travel,10,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
04-03-2019,Sports and travel,7,0,59.265,1301.04,,2792.81,7150.83,2852.075,8451.87,-5599.795
10-02-2019,Home and lifestyle,1,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
19-03-2019,Electronic accessories,5,0,59.03,1306.5,,2832.57,7349.28,2891.6,8655.78,-5764.18
23-03-2019,Home and lifestyle,1,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
03-01-2019,Health and beauty,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
25-01-2019,Electronic accessories,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
22-03-2019,Home and lifestyle,1,0,59.04,1312.3,,2800.71,7326.06,2859.75,8638.36,-5778.61
21-02-2019,Electronic accessories,3,0,56.96,1327.8,,2774.88,7035.16,2831.84,8362.96,-5531.12
20-03-2019,Food and beverages,2,0,59.83,1301.7,,2824.23,7380.75,2884.06,8682.45,-5798.39
11-03-2019,Home and lifestyle,8,0,59.265,1301.04,,2783.3,7164.02,2842.565,8465.06,-5622.495
09-03-2019,Health and beauty,10,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
20-01-2019,Sports and travel,2,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
11-01-2019,Fashion accessories,1,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
11-01-2019,Food and beverages,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
11-03-2019,Health and beauty,2,0,59.265,1301.04,,2783.3,7164.02,2842.565,8465.06,-5622.495
05-01-2019,Home and lifestyle,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
01-01-2019,Home and lifestyle,8,1,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
23-01-2019,Fashion accessories,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
07-01-2019,Electronic accessories,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
16-03-2019,Home and lifestyle,4,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
06-01-2019,Home and lifestyle,8,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
31-01-2019,Electronic accessories,1,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
05-02-2019,Home and lifestyle,6,0,55.99,1317.78,,2737.7,7023.52,2793.69,8341.3,-5547.61
13-02-2019,Electronic accessories,4,0,53.9,1315.1,,2753.03,7015.88,2806.93,8330.98,-5524.05
19-03-2019,Electronic accessories,9,0,59.03,1306.5,,2832.57,7349.28,2891.6,8655.78,-5764.18
09-02-2019,Sports and travel,10,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
12-03-2019,Sports and travel,7,0,59.265,1301.04,,2791.52,7201.28,2850.785,8502.32,-5651.535
05-01-2019,Home and lifestyle,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
04-01-2019,Home and lifestyle,10,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
07-01-2019,Home and lifestyle,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
27-01-2019,Home and lifestyle,2,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
20-03-2019,Sports and travel,10,0,59.83,1301.7,,2824.23,7380.75,2884.06,8682.45,-5798.39
15-02-2019,Home and lifestyle,8,0,55.59,1322.1,,2775.6,7055.18,2831.19,8377.28,-5546.09
06-01-2019,Sports and travel,1,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
04-03-2019,Health and beauty,6,0,59.265,1301.04,,2792.81,7150.83,2852.075,8451.87,-5599.795
12-03-2019,Health and beauty,4,0,59.265,1301.04,,2791.52,7201.28,2850.785,8502.32,-5651.535
03-02-2019,Home and lifestyle,7,1,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
18-02-2019,Electronic accessories,1,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
21-01-2019,Food and beverages,2,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
10-01-2019,Home and lifestyle,6,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
25-01-2019,Home and lifestyle,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
18-03-2019,Electronic accessories,4,0,59.09,1301.5,,2832.94,7326.28,2892.03,8627.78,-5735.75
26-03-2019,Electronic accessories,7,0,59.94,1315,,2818.46,7351.15,2878.4,8666.15,-5787.75
30-03-2019,Sports and travel,7,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
17-02-2019,Home and lifestyle,8,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
21-03-2019,Electronic accessories,3,0,59.98,1307.3,,2854.88,7493.27,2914.86,8800.57,-5885.71
05-03-2019,Fashion accessories,2,0,59.265,1301.04,,2789.65,7156.78,2848.915,8457.82,-5608.905
01-02-2019,Food and beverages,5,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
07-03-2019,Health and beauty,9,0,59.265,1301.04,,2748.93,7026.88,2808.195,8327.92,-5519.725
15-02-2019,Health and beauty,6,0,55.59,1322.1,,2775.6,7055.18,2831.19,8377.28,-5546.09
08-03-2019,Fashion accessories,5,0,59.265,1301.04,,2743.07,7015.69,2802.335,8316.73,-5514.395
17-01-2019,Home and lifestyle,6,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
09-03-2019,Food and beverages,5,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
25-03-2019,Electronic accessories,4,0,58.82,1322.6,,2798.36,7316.96,2857.18,8639.56,-5782.38
17-02-2019,Food and beverages,3,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
03-02-2019,Fashion accessories,5,1,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
14-03-2019,Food and beverages,2,0,58.61,1295.1,,2808.48,7243.01,2867.09,8538.11,-5671.02
21-03-2019,Electronic accessories,5,0,59.98,1307.3,,2854.88,7493.27,2914.86,8800.57,-5885.71
19-03-2019,Fashion accessories,9,0,59.03,1306.5,,2832.57,7349.28,2891.6,8655.78,-5764.18
14-02-2019,Sports and travel,3,0,54.41,1313.9,,2745.73,7022.42,2800.14,8336.32,-5536.18
27-02-2019,Fashion accessories,9,0,56.94,1321.2,,2792.38,7117.01,2849.32,8438.21,-5588.89
04-02-2019,Electronic accessories,1,0,55.99,1317.78,,2724.87,6959.96,2780.86,8277.74,-5496.88
28-03-2019,Electronic accessories,7,0,59.3,1295.3,,2815.44,7320.47,2874.74,8615.77,-5741.03
26-01-2019,Electronic accessories,7,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
17-02-2019,Food and beverages,8,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
21-01-2019,Home and lifestyle,6,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
24-03-2019,Home and lifestyle,4,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
06-03-2019,Electronic accessories,9,0,59.265,1301.04,,2771.45,7112.47,2830.715,8413.51,-5582.795
03-01-2019,Home and lifestyle,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
14-01-2019,Fashion accessories,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
11-01-2019,Sports and travel,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
06-01-2019,Food and beverages,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
20-02-2019,Health and beauty,10,0,56.92,1347.9,,2784.7,7062.34,2841.62,8410.24,-5568.62
13-02-2019,Electronic accessories,1,0,53.9,1315.1,,2753.03,7015.88,2806.93,8330.98,-5524.05
09-03-2019,Sports and travel,10,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
06-03-2019,Health and beauty,1,0,59.265,1301.04,,2771.45,7112.47,2830.715,8413.51,-5582.795
24-01-2019,Health and beauty,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
13-03-2019,Food and beverages,5,0,58.26,1309.3,,2810.92,7256.98,2869.18,8566.28,-5697.1
19-01-2019,Sports and travel,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
11-01-2019,Food and beverages,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
04-03-2019,Home and lifestyle,4,0,59.265,1301.04,,2792.81,7150.83,2852.075,8451.87,-5599.795
04-01-2019,Health and beauty,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
10-03-2019,Sports and travel,3,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
22-03-2019,Home and lifestyle,8,0,59.04,1312.3,,2800.71,7326.06,2859.75,8638.36,-5778.61
04-02-2019,Electronic accessories,7,0,55.99,1317.78,,2724.87,6959.96,2780.86,8277.74,-5496.88
21-01-2019,Health and beauty,7,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
08-03-2019,Home and lifestyle,10,0,59.265,1301.04,,2743.07,7015.69,2802.335,8316.73,-5514.395
13-01-2019,Electronic accessories,6,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
08-03-2019,Home and lifestyle,6,0,59.265,1301.04,,2743.07,7015.69,2802.335,8316.73,-5514.395
15-01-2019,Home and lifestyle,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
15-01-2019,Sports and travel,7,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
16-03-2019,Food and beverages,5,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
03-03-2019,Health and beauty,1,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
31-01-2019,Electronic accessories,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
28-03-2019,Food and beverages,5,0,59.3,1295.3,,2815.44,7320.47,2874.74,8615.77,-5741.03
25-01-2019,Sports and travel,4,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
02-02-2019,Fashion accessories,10,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
30-03-2019,Electronic accessories,5,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
25-02-2019,Health and beauty,3,0,55.48,1329.5,,2796.11,7115.43,2851.59,8444.93,-5593.34
18-03-2019,Sports and travel,5,0,59.09,1301.5,,2832.94,7326.28,2892.03,8627.78,-5735.75
29-01-2019,Electronic accessories,1,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
08-01-2019,Sports and travel,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
23-03-2019,Fashion accessories,4,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
15-03-2019,Fashion accessories,10,0,58.52,1302.9,,2822.48,7306.99,2881,8609.89,-5728.89
02-02-2019,Sports and travel,8,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
28-01-2019,Electronic accessories,8,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
05-01-2019,Home and lifestyle,5,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
